symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2026-09-01T00:00:00Z,402298,406047,407012,402024,402953,3094,0.77,6486200,2731163703,0.61,1.03,0.00,0,3252037,3234163,557932096000,457301600000,87096816,409611488,341432016,68179472,632860016,613942672,18917344,810004784,790098160,19906624,815783136,922786560,-107003424,3.19,2.50,0.69,0.73,-3.92,0,14,10,0,4,0,0,113.61,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0421,2026-09-01T00:00:00Z,855704,865693,869000,854456,856111,9582,1.12,10072711,5289196894,0.78,1.32,0.00,0,5991504,4081207,785401056000,731947264000,-16987376,564703760,556633648,8070112,1109297568,1134355056,-25057488,1643128352,1581673184,61455168,1903581600,1948049376,-44467776,-0.32,0.15,-0.47,1.16,-0.84,0,36,31,3,2,0,0,16.69,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0422,2026-09-01T00:00:00Z,709545,718181,719570,708971,710261,7920,1.12,6358707,5580509746,1.19,1.10,0.00,0,3252638,3106069,637771456000,537698416000,132359408,343075568,286791072,56284496,1107663264,1031588352,76074912,1696874304,1738623488,-41749184,2355782272,2442105392,-86323120,2.37,1.01,1.36,-0.75,-1.55,0,47,38,9,0,0,0,27.20,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0424,2026-09-01T00:00:00Z,2601824,2635121,2644642,2599414,2602502,32619,1.25,3249443,2407449061,0.89,1.02,0.00,0,1721398,1528045,281367008000,236697276000,-45195445,89736329,102240878,-12504549,421810320,454501216,-32690896,798558128,788911520,9646608,1058564944,1023016096,35548848,-1.88,-0.52,-1.36,0.40,1.48,0,23,21,2,0,0,0,-199.84,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0425,2026-09-01T00:00:00Z,2545634,2564926,2572333,2544347,2549178,15748,0.62,20215488,13800748401,0.87,0.97,0.00,0,10555258,9660230,1319938992000,1171420016000,-417956256,1275915600,1331610576,-55694976,2822741008,3185002288,-362261280,4015051488,4242807616,-227756128,5407006976,4731634688,675372288,-3.03,-0.40,-2.62,-1.65,4.89,0,68,49,18,1,0,0,11.51,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0427,2026-09-01T00:00:00Z,940452,950749,953264,940133,940719,10030,1.07,48363833,36187002199,1.06,1.03,0.00,0,25456504,22907329,4206294448000,3486134224000,1403148688,5004207616,3361807728,1642399888,7530634496,7769885696,-239251200,10931002112,11506009600,-575007488,12055936000,12878638848,-822702848,3.88,4.54,-0.66,-1.59,-2.27,0,143,118,18,7,0,0,21.55,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0428,2026-09-01T00:00:00Z,1907981,1931247,1935209,1906977,1910063,21184,1.11,43140633,31319658781,1.00,1.00,0.00,0,22881409,20259224,3935127168000,3226629280000,1460048752,4725232640,3075238800,1649993840,6614299392,6804244480,-189945088,9370113792,9988900864,-618787072,10113157376,10954419200,-841261824,4.66,5.27,-0.61,-1.98,-2.69,0,112,93,12,7,0,0,21.54,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0429,2026-09-01T00:00:00Z,1052184,1058826,1060096,1050425,1051710,7116,0.68,5793399,6301589902,1.03,1.22,0.00,0,3039079,2754321,638784528000,536572800000,403409712,879921440,516159120,363762320,1284813840,1245166448,39647392,1898771696,1961351648,-62579952,2136042496,2468260832,-332218336,6.40,5.77,0.63,-0.99,-5.27,0,51,35,15,1,0,0,19.10,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0433,2026-09-01T00:00:00Z,1492113,1554744,1563163,1492113,1494364,60380,4.04,47052005,38703315718,4.79,1.25,0.00,0,24763330,22288675,1304682608000,990451968000,2876480848,6220582400,3500938928,2719643472,8534778112,8377940736,156837376,11156308480,11924044800,-767736320,10993727488,12904560128,-1910832640,7.43,7.03,0.41,-1.98,-4.94,0,114,103,10,1,0,0,-134.86,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0436,2026-09-01T00:00:00Z,1377913,1391217,1394208,1376417,1378386,12831,0.93,17856907,14117325236,2.48,1.08,0.00,0,8998624,8858283,629856032000,583122976000,144712080,939961744,744269456,195692288,2693767776,2744747984,-50980208,4234160080,4456825856,-222665776,5859279104,5767969536,91309568,1.03,1.39,-0.36,-1.58,0.65,0,112,76,34,2,0,0,28.59,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
